Station Name,Latitude,Longitude,Elevation,IATA,WMO ID,Climate ID,Starting Date (hourly data),Ending Date (hourly data),Starting Date (daily data),Ending Date (daily data),Associated Location
CARTWRIGHT A,53.68,-57.04,14 m,YCA,71818,8501106,2015-07-28,+,2018-10-01,+,Cartwright
CARTYVILLE,48.23,-58.82,31 m,,,8401102,,,1982-01-01,2010-09-01,
CARWAY,49,-113.38,1354 m,PCY,71488,3031402,2012-01-16,+,2012-01-01,2021-03-01,
CARWAY,49,-113.38,1354 m,,,3031400,,,1914-08-01,2011-11-01,
CASCAPEDIA,48.7,-66.22,,,,7051188,,,1918-07-01,1942-09-01,
CASINO CREEK,62.73,-138.83,1100 m,,,2100310,,,1969-08-01,1995-01-01,
CASINO MTN,62.73,-138.83,1005 m,,,2100315,,,1985-06-01,1985-07-01,
CASSIAR,59.28,-129.83,1078 m,,,1191440,,,1954-03-01,1996-08-01,
CASSIAR MINE,59.33,-129.82,1853 m,,,1191442,,,1960-08-01,1963-08-01,
CASTLE,49.4,-114.33,1360 m,,,3051430,,,1958-07-01,2011-09-01,
CASTLE MOUNTAIN VILLAGE,51.27,-115.92,1524 m,,,3051424,,,1983-06-01,2001-02-01,
CASTLE ROCK 6 NORTH,52.54,-122.49,541 m,,,109A4NG,,,1991-04-01,2014-05-01,
CASTLEGAR,49.33,-117.67,434 m,,,1141450,,,1916-07-01,1963-06-01,
CASTLEGAR A (Castlegar Airport),49.3,-117.63,496 m,YCG,,1141456,2013-05-16,+,,,Castlegar
CASTLEGAR A (Castlegar Airport),49.3,-117.63,496 m,YCG,,1141455,1954-01-12,2013-05-16,1965-12-01,2021-03-01,Castlegar
CASTLEGAR A (Castlegar Airport),49.3,-117.63,496 m,YCG,,1141460,2014-10-23,+,2018-10-01,+,Castlegar
CASTLEGAR BCHPA DAM,49.34,-117.77,435 m,,,1141457,,,1969-06-01,2021-03-01,
CASTLEGAR ROBSON PUMPHOUSE,49.34,-117.73,435 m,,,1141463,,,1998-10-01,2003-12-01,
CASTLETON,44.12,-77.88,168 m,,,6151264,,,1972-06-01,1973-02-01,
CASTOR,52.22,-111.92,770 m,,,3011440,,,1951-01-01,1963-04-01,
CASTOR,52.13,-111.9,808 m,,,3011441,,,1969-12-01,1992-10-01,
CAT ARM RIVER,50.08,-56.92,381 m,,,8401104,,,1983-05-01,1984-11-01,
CATARAQUI TS,44.37,-76.62,145 m,,,6101265,,,1960-08-01,1995-04-01,
CATFISH CREEK,53.63,-120.8,648 m,,,109AMEP,,,1986-06-01,1987-07-01,
CATHCART,43.12,-80.57,270 m,,,6141268,,,1962-04-01,1970-08-01,
CATHEDRAL POINT (AUT),52.19,-127.47,26 m,WME,71482,1061458,1994-02-01,+,1994-12-01,2021-03-01,
CAUSAPSCAL,48.37,-67.23,168 m,,,7051200,,,1913-09-01,2020-12-01,
CAUSAPSCAL AIRPORT (Causapscal Airport),48.31,-67.25,123 m,GCL,73005,7051201,2017-03-02,+,2017-04-01,+,Amqui
CAUSAPSCAL RECHERCHES,48.5,-67.17,332 m,,,7051240,,,1951-09-01,1973-12-01,
CAWSTON SIMILKAMEEN,49.18,-119.77,398 m,,,1121459,,,1979-05-01,1992-10-01,
CAYER,51.25,-99.08,259 m,,,5040EN5,,,1972-06-01,1981-09-01,
CAYLEY,50.48,-113.87,1071 m,,,3031450,,,1969-12-01,1972-02-01,
CECIL LAKE CDA,56.33,-120.28,773 m,,,1181465,,,1961-07-01,1980-11-01,
CEDAR VALLEY,44.07,-79.37,284 m,,,6151272,,,1971-07-01,1974-04-01,
CEDARVALE,55.02,-128.32,152 m,,,107ADFE,,,1973-06-01,1994-12-01,
CELISTA,50.96,-119.38,515 m,,,116146F,,,1986-07-01,2004-07-01,
CENTRAL PATRICIA,51.5,-90.15,345 m,,,6011305,,,1953-08-01,1978-12-01,
CENTRAL SAANICH ISL VIEW,48.57,-123.39,38 m,,,10114F6,,,1970-03-01,2008-06-01,
CENTRAL SAANICH TANNER,48.55,-123.4,88 m,,,10114FF,,,1966-05-01,1968-07-01,
CENTRAL SAANICH VEYANESS,48.58,-123.42,53 m,,,1011467,,,1963-12-01,1994-01-01,
CENTRALIA A,43.3,-81.52,253 m,,,6121275,,,1945-04-01,1966-08-01,
CENTRETON,44.08,-78.07,244 m,,,6151307,,,1990-08-01,1992-09-01,
CENTREVILLE,44.4,-76.91,150 m,,,6151309,,,1985-12-01,2021-03-01,
CENTREVILLE,46.38,-67.7,143 m,,,8100850,,,1965-11-01,1993-09-01,
CEREAL,51.48,-110.8,747 m,,,3021460,,,1974-07-01,1976-10-01,
CEREAL AGCM,51.28,-110.82,753 m,PCE,,3021463,2012-11-19,+,2018-05-01,2021-03-01,
CESSFORD,51.02,-111.55,701 m,,,3021465,,,1982-06-01,1998-10-01,
CEYLON,49.47,-104.6,713 m,,,4011440,,,1922-04-01,1978-06-01,
CEYLON,49.38,-104.65,753 m,,,4011441,,,1978-07-01,2002-12-01,
CFB SHILO CCOC,49.79,-99.63,372 m,,,5012673,,,2004-11-01,2005-04-01,
CHAILEY,53.55,-111.25,670 m,,,3011474,,,1980-10-01,2009-10-01,
CHAIN LAKE,44.63,-63.63,59 m,,,8200800,,,1945-02-01,1977-04-01,
CHAIN LAKES RS,50.2,-114.2,1372 m,,,3031476,,,1972-05-01,1976-10-01,
CHALK RIVER AECL,46.05,-77.37,122 m,,,6101335,,,1960-11-01,2021-03-01,
CHAMBERY,49.37,-108.43,930 m,,,4031480,,,1949-04-01,1963-09-01,
CHAMOUCHOUANE,49.28,-73.36,304 m,WEE,71523,7061288,1994-06-23,+,1994-07-01,2021-03-01,
CHAMPION AGDM,50.28,-113.35,1006 m,XCP,71217,3031480,1992-01-20,+,2002-11-01,2021-03-01,
CHAMPLAIN,46.47,-72.33,12 m,,,7011290,,,1980-11-01,2011-10-01,
CHANDLER,48.35,-64.68,38 m,,,7051292,,,1973-06-01,1973-09-01,
CHANNEL,47.62,-59.15,15 m,,,8401125,,,1874-01-01,1951-11-01,
CHANNEL ISLAND,52.3,-97.38,216 m,,,5030556,,,1886-09-01,1904-12-01,
CHAPAIS,49.82,-74.98,381 m,WUK,71824,7091299,2001-04-19,+,2001-04-01,2021-03-01,
CHAPAIS,49.78,-74.87,402 m,,,7091295,1962-12-03,1971-09-08,1962-12-01,1971-09-01,
CHAPAIS 2,49.78,-74.85,396 m,,,7091305,,,1962-05-01,2004-04-01,
CHAPEL ROCK,49.72,-114.28,1510 m,,,3051478,,,1998-11-01,2007-11-01,
CHAPLEAU,47.83,-83.43,428 m,,,6061358,1965-11-01,1976-03-31,1965-11-01,1976-03-01,
CHAPLEAU 2,47.83,-83.43,432 m,,,6061359,,,1886-09-01,1966-10-01,
CHAPLEAU A,47.82,-83.35,448 m,,,6061361,1994-02-01,2015-03-12,1978-07-01,2015-03-01,Chapleau
CHAPLEAU A (Chapleau Airport),47.82,-83.35,448 m,YLD,71642,6061362,2015-03-12,+,2015-01-01,2018-10-01,Chapleau
CHAPLEAU A (Chapleau Airport),47.82,-83.35,448 m,YLD,,6061365,2015-03-09,+,2018-10-01,+,Chapleau
CHAPLIN,50.47,-106.65,672 m,,,4021520,,,1883-10-01,1995-09-01,
CHARLESBOURG JAR ZOO,46.9,-71.3,152 m,,,7011308,,,1963-01-01,1977-08-01,
CHARLESBOURG PARC ORLEAN,46.87,-71.27,114 m,,,7011309,,,1971-09-01,2007-04-01,
CHARLESTON,48.38,-53.67,13 m,,,8401128,,,1989-11-01,2019-07-01,
CHARLESVILLE,43.58,-65.78,3 m,,,8200810,,,1978-10-01,2017-01-01,
CHARLEVOIX (MRC) (Charlevoix),47.28,-70.64,723 m,WIS,71319,7041312,1997-10-16,+,1997-11-01,+,Charlevoix
CHARLEVOIX A,47.6,-70.23,298 m,YML,,7041310,1994-02-01,2018-06-10,,,
CHARLIE CREEK RANCH,51.75,-124.47,1158 m,,,1081469,,,1975-10-01,1976-12-01,
CHARLIE LAKE,56.3,-121.02,753 m,,,11814FR,,,1988-10-01,2017-12-01,
CHARLINCH,45.45,-79.25,326 m,,,6111375,,,1883-08-01,1893-08-01,
CHARLO A,47.98,-66.33,40 m,,,8100880,1966-12-01,2003-03-20,1966-12-01,2003-03-01,Campbellton
,,,,,,,,,,,Carleton-sur-Mer
,,,,,,,,,,,Charlo
,,,,,,,,,,,Dalhousie
,,,,,,,,,,,Pointe-à-la-Croix
CHARLO AUTO (Charlo),47.99,-66.33,42 m,ZCR,71315,8100885,2003-11-05,+,2003-11-01,+,Campbellton
,,,,,,,,,,,Carleton-sur-Mer
,,,,,,,,,,,Charlo
,,,,,,,,,,,Dalhousie
,,,,,,,,,,,Pointe-à-la-Croix
CHARLO FALLS,47.97,-66.48,17 m,,,8100900,,,1934-01-01,1958-12-01,
CHARLOTTE LAKE,52.15,-125.28,1174 m,,,1081D6R,,,1980-10-01,1981-02-01,
CHARLOTTETOWN,46.23,-63.17,14 m,,,8300298,,,1872-04-01,1934-12-01,
CHARLOTTETOWN A (Charlottetown Airport),46.29,-63.13,49 m,YYG,71706,8300300,1953-01-01,2012-09-13,1943-04-01,2012-09-01,Charlottetown
CHARLOTTETOWN A (Charlottetown Airport),46.29,-63.12,51 m,YYG,71706,8300301,2012-09-10,+,2012-09-01,+,Charlottetown
CHARLOTTETOWN CDA,46.25,-63.13,23 m,,,8300400,,,1910-07-01,1992-05-01,
CHARLOTTETOWN CDA CS,46.25,-63.13,23 m,,,8300401,,,1991-05-01,2002-06-01,
CHARLOTTETOWN SDU,46.25,-63.13,24 m,,,8300405,,,1968-11-01,1970-03-01,
CHARTERIS,45.68,-76.43,168 m,,,7031315,,,1980-05-01,2020-12-01,
CHARTIERVILLE,45.28,-71.2,518 m,,,7021320,,,1951-08-01,1990-06-01,
CHASE,50.82,-119.69,359 m,,,1161470,,,1952-05-01,2001-06-01,
CHATEAU RICHER,46.97,-71.03,15 m,,,7041330,,,1980-12-01,2020-12-01,
CHATFIELD,50.82,-97.5,266 m,,,5030559,,,1969-08-01,1995-08-01,
CHATHAM,42.4,-82.2,183 m,,,6131386,,,1933-10-01,1967-11-01,
CHATHAM,42.43,-82.27,178 m,,,6131387,,,1968-06-01,1972-08-01,
CHATHAM,47.05,-65.48,30 m,,,8100990,,,1873-01-01,1947-04-01,
CHATHAM 2,42.4,-82.2,181 m,,,6131388,,,1879-02-01,1946-09-01,
CHATHAM CFCO,42.38,-82.2,181 m,,,6131413,,,1946-10-01,1962-05-01,
CHATHAM KENT (Chatham-Kent),42.31,-82.08,197 m,YCK,,6131414,2014-04-03,+,2018-10-01,+,Chatham-Kent
,,,,,,,,,,,Rodney
CHATHAM NBEPC,47.05,-65.47,4 m,,,8101020,,,1960-05-01,1980-11-01,
CHATHAM POINT,50.33,-125.45,23 m,WFM,,1021480,1994-02-01,2001-12-13,1958-07-01,2021-03-01,
CHATHAM WATERWORKS,42.42,-82.18,183 m,,,6131416,,,1965-07-01,1983-05-01,
CHATHAM WPCP,42.39,-82.22,180 m,,,6131415,,,1983-06-01,2019-09-01,
CHATHAM-BROWNSBURG,45.62,-74.41,75 m,MBB,,7031320,2004-12-20,2007-06-14,,,
CHATS FALLS,45.47,-76.23,94 m,,,6101440,,,1950-06-01,1992-06-01,
CHATSWORTH,44.4,-80.91,305 m,,,6111467,,,1952-12-01,2013-10-01,
CHAUVIN,52.72,-110.17,640 m,,,3011479,,,1980-07-01,1990-04-01,
CHAUVIN EXP ST,52.7,-110.13,628 m,,,3011480,,,1951-01-01,1956-11-01,
CHEDDERVILLE CDA EPF,52.2,-114.87,1036 m,,,3011520,,,1954-01-01,1977-11-01,
CHEEKYE,49.8,-123.15,49 m,,,1041490,,,1960-04-01,1962-10-01,
CHELSEA,45.52,-75.78,113 m,,,7031360,,,1927-09-01,2021-02-01,Chelsea
CHELTENHAM,43.75,-79.93,282 m,,,6151486,,,1950-10-01,1951-10-01,
CHEMAINUS,48.94,-123.74,75 m,,,1011500,,,1919-01-01,2021-03-01,
CHEMAINUS BARE POINT,48.92,-123.7,3 m,,,101AE00,,,1979-11-01,1979-12-01,
CHEMIN CHIBOUGAMAU,49.28,-73.63,366 m,,,7061368,,,1965-03-01,1967-08-01,
CHEMIN CHUTE DES PASSES,49.42,-71.4,366 m,,,7061372,,,1967-01-01,1975-02-01,
CHENAUX,45.58,-76.68,84 m,,,6101494,,,1950-06-01,1990-12-01,
CHENEVILLE,45.9,-75.08,223 m,,,7031375,,,1964-05-01,2020-12-01,
CHERRY MOUNTAIN TOWER,59.38,-112.38,305 m,,,3071521,,,1968-06-01,1981-08-01,
CHERRYVILLE,50.23,-118.58,665 m,,,1161506,,,1959-04-01,1961-08-01,
CHESLEY,44.28,-81.13,252 m,,,6121499,,,1975-08-01,1976-10-01,
CHESTER,44.55,-64.25,61 m,,,8200816,,,1983-12-01,1986-03-01,
CHESTER BASIN,44.55,-64.32,13 m,,,8200818,,,1983-12-01,1984-11-01,
CHESTERFIELD,63.33,-90.72,6 m,,,2300700,1953-01-01,1984-12-07,1930-09-01,1981-02-01,
CHESTERFIELD INLET,63.75,-91.83,15 m,,,2300705,,,1921-11-01,1931-12-01,
CHESTERFIELD INLET A (Chesterfield Inlet Airport),63.35,-90.73,10 m,YCS,,2300701,2013-12-11,+,,,Chesterfield
CHESTERFIELD INLET A (Chesterfield Inlet Airport),63.35,-90.73,10 m,YCS,,2300707,1985-01-02,2013-12-12,1985-01-01,2014-11-01,Chesterfield
CHESTERFIELD INLET A (Chesterfield Inlet Airport),63.35,-90.73,10 m,YCS,,2300710,2014-10-23,+,2018-10-01,+,Chesterfield
CHESTERMERE LAKE SOUTH,51.03,-113.78,1021 m,,,3031524,,,1974-07-01,1985-05-01,
CHESTERVILLE,45.1,-75.23,70 m,,,6101500,,,1965-12-01,1983-06-01,
CHESTERVILLE 2,45.02,-75.2,85 m,,,6101502,,,1983-09-01,1997-10-01,
CHETICAMP,46.63,-61.05,335 m,,,8200824,,,1935-04-01,1945-08-01,
CHETICAMP,46.65,-60.95,11 m,,,8200825,,,1956-02-01,1998-05-01,Chéticamp
CHETICAMP CS (Chéticamp),46.65,-60.95,44 m,XCH,71959,8200827,1999-02-09,2018-11-20,1998-06-01,2018-11-01,Chéticamp
CHETICAMP HIGHLANDS NATIONAL PARK (Chéticamp),46.65,-60.95,8 m,AHT,73023,8200828,2018-09-28,+,2018-09-01,+,Chéticamp
CHETICAMP SNOW,46.63,-60.95,27 m,,,8200830,,,2011-11-01,2015-04-01,
CHETWYND A (Chetwynd Airport),55.69,-121.63,610 m,YCQ,,1181508,1982-10-09,2014-03-20,1982-10-01,+,Chetwynd
CHETWYND A (Chetwynd Airport),55.69,-121.63,609 m,YCQ,,1181513,2014-10-23,+,2018-10-01,+,Chetwynd
CHETWYND A (Chetwynd Airport),55.69,-121.63,609 m,YCQ,,1181507,2014-03-20,+,,,Chetwynd
CHETWYND BCFS,55.7,-121.62,660 m,,,1181509,,,1970-04-01,1982-11-01,
CHETWYND SUKUNKA,55.23,-121.65,750 m,,,1181510,,,1971-12-01,1976-06-01,
CHEVERY (Chevery),50.47,-59.64,8 m,WDM,71814,7041382,1994-02-01,+,1992-12-01,+,Chevery
CHIBOUGAMAU,49.92,-74.37,378 m,,,7091400,,,1936-10-01,1975-10-01,
CHIBOUGAMAU A,49.82,-74.42,402 m,,,7091401,1971-09-08,1982-10-13,1971-09-01,1982-10-01,
CHIBOUGAMAU CHAPAIS A (Chibougamau Chapais Airport),49.77,-74.53,387 m,YMT,,7091409,2014-10-23,+,2018-10-01,+,Chibougamau
CHIBOUGAMAU CHAPAIS A (Chibougamau Chapais Airport),49.77,-74.53,387 m,YMT,,7091405,2014-09-04,2016-11-10,,,Chibougamau
CHIBOUGAMAU CHAPAIS A (Chibougamau Chapais Airport),49.77,-74.53,387 m,YMT,71822,7091404,1982-11-01,2014-09-04,1982-10-01,2016-11-01,Chibougamau
CHIBOUGAMAU-CHAPAIS,49.78,-74.53,381 m,GCH,73011,7091410,2017-11-22,+,2017-11-01,+,
CHIBOUGAMAU-CHAPAIS A (Chibougamau Chapais Airport),49.77,-74.53,387 m,YMT,71822,7091399,1994-02-01,2005-05-12,1992-12-01,2008-07-01,Chibougamau
CHICOUTIMI,48.42,-71.08,15 m,,,7061440,,,1871-09-01,1979-05-01,
CHICOUTIMI OUEST,48.42,-71.08,175 m,,,7061441,,,1989-09-01,1991-01-01,
CHICOUTIMI UNIVERSITE,48.42,-71.05,76 m,,,7061442,,,1976-07-01,1985-01-01,
CHIEF CUSTOMS,49,-113.67,1372 m,,,3051545,,,2003-03-01,2007-11-01,
CHIEF LAKE,54.1,-123.07,793 m,,,1091512,,,1970-06-01,1980-04-01,
CHILKO LAKE,51.62,-124.15,1172 m,,,1081515,,,1956-04-01,1957-09-01,
CHILLIWACK,49.17,-121.92,11 m,,,1101530,,,1879-04-01,2014-08-01,
CHILLIWACK CITY,49.18,-121.95,6 m,,,1101540,,,1960-01-01,1985-09-01,
CHILLIWACK GIBSON ROAD,49.17,-121.87,12 m,,,1101545,,,1961-01-01,1986-10-01,
CHILLIWACK MARBLEHILL CK,49.13,-121.83,213 m,,,1101561,,,1970-05-01,1970-08-01,
CHILLIWACK R CENTRE CRK,49.1,-121.55,488 m,,,1101564,,,1961-04-01,1976-07-01,
CHILLIWACK R FOLEY CREEK,49.1,-121.63,369 m,,,1101565,,,1966-07-01,1984-05-01,
CHILLIWACK R HATCHERY,49.08,-121.7,225 m,,,1101N65,,,1961-04-01,2016-05-01,
CHILLIWACK R TAMAHI CRK,49.07,-121.83,137 m,,,1101567,,,1961-04-01,1966-06-01,
CHILLIWACK WESTVIEW,49.17,-121.97,6 m,,,1101577,,,1981-12-01,1994-05-01,
CHILLIWACK YALE RD EAST,49.18,-121.9,8 m,,,1101580,,,1969-05-01,1977-03-01,
CHINCHAGA LO,57.12,-118.33,762 m,,,3071550,,,1958-05-01,2011-09-01,
CHINOOK COVE,51.25,-120.18,404 m,,,1161590,,,1913-12-01,1955-10-01,
CHINOOK COVE POSBY LAKE,51.26,-120.2,716 m,,,1161592,,,1989-05-01,2007-12-01,
CHIPEWYAN LAKES LO,57,-113.42,564 m,,,3071555,,,1967-06-01,2011-08-01,
CHIPMAN,46.15,-65.9,20 m,,,8101101,,,1968-07-01,1968-09-01,
CHIPMAN,53.7,-112.58,669 m,,,3011560,,,1954-08-01,1960-04-01,
CHIPMAN,46.18,-65.87,11 m,,,8101098,,,1919-10-01,1932-01-01,
CHIPMAN,46.18,-65.87,11 m,,,8101100,,,1931-05-01,1967-06-01,
CHISHOLM LO,54.93,-114.03,677 m,,,3061570,,,1959-05-01,2011-09-01,
CHISHOLM MILLS,54.92,-114.2,579 m,,,3061571,,,1973-07-01,1973-10-01,
CHOICELAND,53.5,-104.48,442 m,,,4071560,,,1948-12-01,1994-03-01,
CHRISTIAN VALLEY,49.65,-118.75,805 m,,,1131615,,,1972-06-01,1985-04-01,
CHRISTIE CONSERVATION,43.28,-80.02,252 m,,,6151512,,,1976-06-01,1994-12-01,
CHRISTINA LAKE,55.63,-110.83,370 m,,,3061600,,,2007-09-01,2007-10-01,
CHRISTINA LO,55.58,-111.85,823 m,,,3061580,,,1966-07-01,2002-05-01,
CHRISTMAS BROOK NORTH,45.42,-71.37,,,,7021460,,,1973-01-01,1978-08-01,
CHROME ISLAND,49.47,-124.68,11 m,WOG,,1021616,1997-06-18,1998-06-05,,,
CHROME ISLAND,49.47,-124.68,10 m,,,1021500,,,2013-08-01,2020-03-01,
CHUNGO LO,52.68,-116.7,2304 m,,,3051585,,,1960-07-01,1964-08-01,
CHURCHILL A (Churchill Airport),58.74,-94.07,29 m,YYQ,,5060600,1953-01-01,2012-04-12,1943-01-01,2008-07-01,Churchill
CHURCHILL A (Churchill Airport),58.74,-94.07,29 m,YYQ,71618,5060595,2010-11-15,+,2010-11-01,+,Churchill
CHURCHILL A (Churchill Airport),58.74,-94.07,29 m,YYQ,71618,5060605,2012-04-10,+,2018-10-01,+,Churchill
CHURCHILL AWOS,58.74,-94.06,29 m,,,5060601,2008-07-03,2010-11-18,2008-07-01,2010-11-01,Churchill
CHURCHILL CLIMATE,58.73,-94.07,29 m,PYQ,71696,5060608,2005-09-27,+,2005-10-01,2021-03-01,
CHURCHILL COPPER ONE,58.45,-125.4,1593 m,,,1191618,,,1974-01-01,1974-09-01,
CHURCHILL FALLS,53.53,-63.97,489 m,,,850A131,,,1993-10-01,1998-04-01,
CHURCHILL FALLS,53.56,-64.09,440 m,AFL,,8501130,1994-02-01,+,1992-12-01,+,Churchill Falls
CHURCHILL FALLS A,53.55,-64.1,440 m,,,8501132,1968-11-11,1993-03-31,1968-11-01,1993-03-01,Churchill Falls
CHURCHILL FALLS A (Churchill Falls),53.56,-64.11,440 m,ZUM,71002,8501131,2011-12-12,+,2011-12-01,+,Churchill Falls
CHURCHILL MARINE,58.78,-94.18,13 m,,,5060602,,,1929-03-01,1951-06-01,
CHURCHILL UA,58.73,-94.07,29 m,,71913,5060606,,,2000-05-01,2015-12-01,
CHUTE A LA SAVANE,48.78,-71.85,140 m,,,7061475,,,1951-07-01,1975-01-01,
CHUTE A MURDOCK,48.52,-71.25,188 m,,,7061480,,,1921-10-01,1957-12-01,
CHUTE AUX GALETS,48.65,-71.2,152 m,,,7061520,,,1919-12-01,1963-04-01,
CHUTE AUX OUTARDES,49.13,-68.38,15 m,,,7041530,,,1963-04-01,1978-03-01,
CHUTE DES PASSES,49.85,-71.15,271 m,,,7061540,,,1957-06-01,1957-08-01,
CHUTE DES PASSES 2,49.82,-71.15,267 m,,,7061542,,,1973-06-01,1978-09-01,
CHUTE DU DIABLE,48.75,-71.7,174 m,,,7061560,,,1951-06-01,1977-03-01,
CHUTE HEMMINGS,45.87,-72.45,87 m,,,7021580,,,1931-12-01,1986-08-01,
CHUTE LAKE,49.68,-119.53,1194 m,,,1121620,,,1928-09-01,1962-10-01,
CHUTE PANET,46.87,-71.87,152 m,,,7011600,,,1949-08-01,1982-03-01,
CHUTE ST PHILIPPE,46.65,-75.25,252 m,,,7031636,,,1972-01-01,1996-11-01,
CHUTE-DES-PASSES,49.84,-71.17,398 m,WDT,71522,7061541,1994-08-01,+,1960-03-01,2021-03-01,
CIGAR LAKE,58.08,-104.48,467 m,,,4061570,,,1987-06-01,2021-03-01,
CINOLA MINE SITE,53.5,-132.13,76 m,,,1051630,,,1980-04-01,1982-03-01,
CITY VIEW,45.35,-75.73,88 m,,,6101521,,,1953-10-01,1960-01-01,
CLAM HARBOUR,44.73,-62.88,8 m,,,8200850,,,1956-01-01,1958-05-01,
CLANWILLIAM,50.35,-99.81,623 m,,,5010609,,,1999-06-01,2001-10-01,
CLAREMONT,43.95,-79.07,175 m,,,6151545,,,1962-03-01,1991-09-01,
CLAREMONT FIELD CENTRE,43.95,-79.08,183 m,,,61515DE,,,1970-05-01,1971-09-01,
CLARENCE,44.92,-65.17,52 m,,,8200860,,,1958-05-01,1993-06-01,
CLARENVILLE,48.15,-53.97,8 m,,,8401140,,,1978-02-01,1982-09-01,
CLARENVILLE,48.36,-53.96,67 m,,,8401141,,,1982-10-01,2016-12-01,
CLARESHOLM (Claresholm),50,-113.64,1009 m,WDK,71234,3031640,1994-02-01,+,1951-08-01,+,Claresholm
,,,,,,,,,,,Willow Creek (Provincial Park)
CLARESHOLM EXP FARM,50.03,-113.58,1033 m,,,3031652,,,1914-02-01,1931-12-01,
CLARESHOLM EXP ST,50.02,-113.63,1033 m,,,3031656,,,1954-01-01,1961-02-01,
CLARESHOLM LAING,50.05,-113.37,975 m,,,30316NF,,,1965-11-01,1967-11-01,
CLARESHOLM LYNDON CREEK,50.05,-113.92,1120 m,,,3051F56,,,1976-04-01,1976-10-01,
CLARESHOLM MEADOW CREEK,49.94,-113.74,1035 m,,,3031F5F,,,1912-10-01,2005-03-01,
CLARESHOLM NORTH,50.03,-113.58,1036 m,,,3031FN6,,,1966-04-01,1967-04-01,
CLARESHOLM TROUT CREEK,49.97,-113.87,1164 m,,,305J65G,,,1966-06-01,1976-03-01,
CLARESHOLM WATERWORKS,50.02,-113.71,1008 m,,,3031658,,,1959-03-01,2008-01-01,
CLARKE CITY,50.18,-66.63,53 m,,,7041710,,,1903-05-01,1981-09-01,
CLARKE CITY S,50.2,-66.63,61 m,,,7041715,,,1966-08-01,1966-09-01,
CLARKSBURG,44.52,-80.47,232 m,,,6111546,,,1966-06-01,1966-11-01,
CLARKSON,43.52,-79.62,93 m,,,6151548,,,1949-12-01,1967-09-01,
CLAYBANK,50.05,-105.22,643 m,,,4011580,,,1957-02-01,1976-02-01,
CLAYBANK,45.42,-76.4,107 m,,,6101555,,,1961-07-01,1994-09-01,
CLAYDON,49.13,-109.1,975 m,,,4031581,,,1971-07-01,2017-08-01,
CLAYOQUOT,49.15,-125.9,23 m,,,1031650,,,1896-12-01,1959-01-01,
CLEAR CREEK,42.58,-80.57,190 m,,,6131575,,,1950-05-01,1961-06-01,
CLEAR HILLS AGCM,56.53,-117.93,672 m,PCS,,3071661,2013-10-28,+,2018-05-01,2021-03-01,
CLEAR HILLS LO,56.6,-119.42,933 m,,,3071660,,,1954-06-01,2011-09-01,
CLEARDALE,56.33,-119.48,643 m,,,307JF5R,,,1964-05-01,2005-03-01,
CLEARDALE AGDM,56.31,-119.75,630 m,XCD,71221,3074935,1990-03-06,+,2003-01-01,2021-03-01,
CLEARWATER,51.98,-115.25,1280 m,,,3011663,,,1958-07-01,2011-09-01,
CLEARWATER,51.65,-120.03,466 m,,,1161655,,,1976-04-01,1992-08-01,
CLEARWATER AUTO (Clearwater),51.65,-120.08,438 m,VCW,71645,1161650,2014-07-17,+,2014-07-01,+,Clearwater
CLEARWATER AXEL CRK,51.52,-120.12,716 m,,,1161F55,,,1984-05-01,1996-09-01,
CLEARWATER BLACKPOOL,51.62,-120.12,421 m,,,1161FN5,,,1984-05-01,1986-12-01,
CLEARWATER CANDLE CRK,51.68,-120,701 m,,,116A655,,,1985-08-01,1988-09-01,
CLEARWATER SPAHATS CREEK,51.73,-120,869 m,,,116JF55,,,1990-03-01,1995-02-01,
CLEARWATER SUNSHINE,51.65,-120.1,451 m,,,1161656,,,1980-08-01,1980-08-01,
CLEMENTSVALE,44.62,-65.57,107 m,,,8200875,,,1961-08-01,1980-05-01,
CLERMONT,47.68,-70.25,152 m,,,7041717,,,1978-05-01,1980-09-01,
CLIFFORD,43.97,-80.97,373 m,,,6141602,,,1950-08-01,1967-07-01,
CLIFFORD,43.97,-81.12,366 m,,,6121603,,,1970-06-01,1972-05-01,Walkerton
CLIFTON,45.35,-63.42,15 m,,,8200900,,,1948-05-01,1989-11-01,
CLIFTON POINT,69.2,-118.63,33 m,,,2200730,,,1959-01-01,1963-07-01,
CLIFTON RIVER,45.3,-71.57,343 m,,,7021718,,,1973-01-01,1981-12-01,
CLIFTON RIVER SOUTH,45.23,-71.5,,,,7021719,,,1973-01-01,1981-12-01,
CLIMAX,49.2,-108.38,939 m,,,4031585,,,1962-08-01,2007-08-01,
CLINE LO,52.18,-116.4,2050 m,,,30516F5,,,1975-05-01,2011-09-01,
CLINE LO,52.17,-116.68,1829 m,,,3051665,,,1960-06-01,1965-09-01,
CLINTON,43.6,-81.53,274 m,,,6121630,,,1956-03-01,1966-05-01,
CLINTON,51.08,-121.57,892 m,,,1161660,,,1962-05-01,1965-01-01,
CLINTON (AUT),51.14,-121.5,1057 m,ZCL,,1161661,1994-02-01,2018-07-24,1973-01-01,2015-04-01,Clinton
CLINTON A (Clinton),51.27,-121.68,1126 m,YIN,71717,1161662,2013-08-20,+,2013-08-01,+,100 Mile House
,,,,,,,,,,,Clinton
CLINTON CREEK,64.42,-140.67,335 m,,,2100365,,,1964-06-01,1966-08-01,
