,Station,Station ID,Province,Index_col,Monthly Range,Daily Range
1052,PONDEROSA,27031,AB,1052,1995-06-01|2007-09-01,1995-06-01|2010-09-30
1053,PONOKA,1951,AB,1053,1906-01-01|1968-12-01,1906-11-01|1968-10-31
1054,PONOKA SOUTH,1952,AB,1054,1980-01-01|1988-12-01,1980-02-01|1988-03-31
1055,PONTON LO,2782,AB,1055,1967-01-01|2007-08-01,1967-05-01|2011-08-10
1056,POPLAR GLEN,1953,AB,1056,1990-01-01|2007-11-01,1990-08-01|2008-01-30
1057,PORCUPINE LO,2429,AB,1057,1971-01-01|2007-11-01,1971-06-01|2011-09-01
1058,PORCUPINE RS,2430,AB,1058,1968-01-01|1971-12-01,1968-05-01|1971-06-30
1059,POTHOLE MCINTYRE,2352,AB,1059,1977-01-01|1984-12-01,1977-07-01|1984-08-31
1060,PRAIRIE CREEK RS,1954,AB,1060,1967-01-01|1984-12-01,1967-05-01|1984-10-31
1061,PRAIRIE RIVER,27845,AB,1061,1999-06-01|2007-11-01,1999-06-01|2009-12-18
1062,PRENTISS,2130,AB,1062,1978-01-01|1981-12-01,1978-04-01|1981-05-31
1063,PRENTISS,41784,AB,1063,2003-06-01|2007-11-01,2003-06-01|2021-02-25
1064,PRIDDIS,2294,AB,1064,1972-01-01|1975-12-01,1972-05-01|1975-05-31
1065,PRIDDIS OBSERVATORY,48468,AB,1065,|,2018-05-14|2021-02-25
1066,PRIMROSE LAKE 2,10807,AB,1066,|,1992-12-01|2000-11-03
1067,PRIMROSE LAKE DND,8893,AB,1067,|,|
1068,PRIMROSE LO,2585,AB,1068,1967-01-01|1992-12-01,1967-06-01|1992-08-31
1069,PROVOST,1955,AB,1069,1978-01-01|1981-12-01,1978-06-01|1981-07-31
1070,PUSKWASKAU LO,2783,AB,1070,1944-01-01|2007-09-01,1944-09-01|2011-09-01
1071,QUEENSTOWN,2295,AB,1071,1961-01-01|2007-11-01,1961-08-01|2021-02-25
1072,QUEENSTOWN,47767,AB,1072,|,2009-08-05|2021-02-25
1073,RACEHORSE CREEK,8853,AB,1073,1999-03-01|2005-11-01,1999-03-01|2005-11-30
1074,RADWAY,1956,AB,1074,1922-01-01|1951-12-01,1922-11-01|1951-11-30
1075,RADWAY AGCM,47089,AB,1075,|,2008-06-05|2021-02-25
1076,RAINBOW LAKE,2784,AB,1076,1970-01-01|1970-12-01,1970-03-01|1970-04-30
1077,RAINBOW LO,2767,AB,1077,1970-01-01|2007-08-01,1970-05-01|2011-08-21
1078,RAINBOW RS,2785,AB,1078,1970-01-01|1995-08-01,1970-02-01|1995-08-31
1079,RAINIER,2296,AB,1079,1963-01-01|1980-12-01,1963-07-01|1980-05-31
1080,RAINIER AGCM,53738,AB,1080,|,2018-05-14|2021-02-25
1081,RALSTON,2297,AB,1081,1954-01-01|1976-12-01,1954-07-01|1976-06-30
1082,RALSTON AGCM,50918,AB,1082,|,2018-05-14|2021-02-25
1083,RAM FALLS,2431,AB,1083,1989-01-01|2007-09-01,1989-06-01|2011-09-30
1084,RANFURLY,1957,AB,1084,1905-01-01|1991-11-01,1905-01-01|1991-07-31
1085,RANFURLY 2NW,1958,AB,1085,1980-01-01|2007-11-01,1980-10-01|2014-11-07
1086,RANFURLY AUTO,51898,AB,1086,|,2013-11-07|2021-02-25
1087,RASPBERRY LO,2432,AB,1087,1963-01-01|2007-09-01,1963-05-01|2011-09-01
1088,RAYMOND,2298,AB,1088,1910-01-01|1976-12-01,1910-05-01|1976-12-31
1089,RAYMOND AGDM,42729,AB,1089,2004-06-01|2007-10-01,2004-06-01|2021-02-25
1090,RED DEER,2133,AB,1090,1974-01-01|2007-11-01,1974-05-01|2013-03-30
1091,RED DEER,2132,AB,1091,1904-01-01|1974-12-01,1904-07-01|1974-04-30
1092,RED DEER A,2134,AB,1092,1938-01-01|2007-11-01,1938-02-01|2014-04-30
1093,RED DEER CCOC,45927,AB,1093,2007-01-01|2007-11-01,2004-10-05|2012-04-29
1094,RED DEER OVERLAP,54478,AB,1094,|,2018-03-05|2020-11-03
1095,RED DEER REGIONAL A,51440,AB,1095,|,2014-05-01|2021-02-25
1096,RED DEER REGIONAL A,55018,AB,1096,|,2020-06-03|2021-02-25
1097,RED DEER RS,2433,AB,1097,1958-01-01|1972-12-01,1958-07-01|1972-10-31
1098,RED EARTH,2787,AB,1098,1973-01-01|1973-12-01,1973-07-01|1973-11-30
1099,RED EARTH,10183,AB,1099,1996-05-01|2007-11-01,1994-03-26|2021-02-25
1100,RED EARTH LO,2788,AB,1100,1959-01-01|2007-09-01,1959-04-01|2011-08-22
1101,RED EARTH RS,2786,AB,1101,1983-01-01|1990-12-01,1983-07-01|1990-07-31
1102,RED WILLOW,1804,AB,1102,1989-01-01|2002-06-01,1989-12-01|2002-06-30
1103,REDCLIFF,2299,AB,1103,1976-01-01|1984-12-01,1976-07-01|1984-08-31
1104,REDLAND,2131,AB,1104,1966-01-01|1975-12-01,1966-04-01|1975-07-31
1105,REDWATER,1805,AB,1105,1990-01-01|2007-11-01,1990-07-01|2008-03-31
1106,REDWATER SOUTH,27484,AB,1106,1997-10-01|2000-07-01,1997-10-01|2000-07-31
1107,REES TOWER,2647,AB,1107,1986-01-01|1990-12-01,1986-06-01|1990-08-31
1108,RIBSTONE SOUTH AGCM,46812,AB,1108,2007-09-01|2007-11-01,2007-09-01|2021-02-25
1109,RICH LAKE AGDM,31413,AB,1109,2001-12-01|2007-11-01,2001-12-01|2021-02-25
1110,RICHARDSON LO,2586,AB,1110,1960-01-01|2007-09-01,1960-04-01|2011-05-16
1111,RICINUS,1959,AB,1111,1983-01-01|1987-12-01,1983-07-01|1987-09-30
1112,RIMBEY,2135,AB,1112,1957-01-01|1991-12-01,1957-01-01|1991-12-31
1113,RIVERCOURSE,1960,AB,1113,1961-01-01|1966-12-01,1961-07-01|1966-06-30
1114,RIVERCOURSE AGCM,46132,AB,1114,2007-08-01|2007-11-01,2007-06-27|2021-02-25
1115,ROBB RS,2587,AB,1115,1965-01-01|1996-09-01,1965-11-01|1996-09-30
1116,ROCHESTER,2588,AB,1116,1956-01-01|1968-12-01,1956-02-01|1969-08-31
1117,ROCHESTER NORTH,2589,AB,1117,1970-01-01|1981-12-01,1970-05-01|1981-09-30
1118,ROCK ISLAND LAKE LO,2590,AB,1118,1977-01-01|2007-09-01,1977-04-01|2011-09-01
1119,ROCKY LANE AGCM,51841,AB,1119,|,2018-05-14|2021-02-25
1120,ROCKY MOUNTAIN HOUSE,1963,AB,1120,1915-01-01|1946-12-01,1915-08-01|1946-08-31
1121,ROCKY MTN HOUSE,1961,AB,1121,1945-01-01|1978-12-01,1945-01-01|1978-01-31
1122,ROCKY MTN HOUSE (AUT),8712,AB,1122,1996-02-01|2007-11-01,1992-12-02|2021-02-25
1123,ROCKY MTN HOUSE A,1962,AB,1123,1978-01-01|1994-12-01,1978-02-01|1994-03-22
1124,ROCKY MTN HOUSE CR10,27208,AB,1124,1996-03-01|2002-11-01,1996-03-01|2002-11-30
1125,ROCKY RAPIDS,1964,AB,1125,1967-01-01|1967-12-01,1967-05-01|1967-07-31
1126,ROLLING HILLS AGCM,46827,AB,1126,2007-09-01|2007-11-01,2007-09-01|2021-02-25
1127,ROLLYVIEW,32190,AB,1127,2002-10-01|2004-12-01,2002-10-01|2004-12-31
1128,ROMA,55098,AB,1128,|,2020-09-11|2021-02-25
1129,RONALANE,2300,AB,1129,1913-01-01|1924-12-01,1913-09-01|1924-07-31
1130,RONAN,2591,AB,1130,1969-01-01|2005-12-01,1969-09-01|2005-12-31
1131,ROSALIND AGCM,46847,AB,1131,2007-09-01|2007-11-01,2007-09-01|2021-02-25
1132,ROSEBUD,2136,AB,1132,1966-01-01|1974-12-01,1966-04-01|1974-10-31
1133,ROSEMARY AGDM,42731,AB,1133,2004-06-01|2007-10-01,2004-06-01|2021-02-25
1134,ROUND HILL LO,2592,AB,1134,1952-01-01|2007-08-01,1951-07-01|2011-09-01
1135,RYCROFT,2789,AB,1135,1931-01-01|1977-12-01,1931-02-01|1978-01-31
1136,RYCROFT AGCM,47090,AB,1136,|,2008-06-05|2021-02-25
1137,RYLEY,1966,AB,1137,1951-01-01|1954-12-01,1951-01-01|1954-12-31
1138,SADDLE HILLS LO,2790,AB,1138,1965-01-01|2007-09-01,1965-04-01|2007-09-30
1139,SALT PRAIRIE LO,2594,AB,1139,1955-01-01|2007-08-01,1955-05-01|2011-08-23
1140,SALT PRAIRIE RS,2595,AB,1140,1966-01-01|1972-12-01,1966-11-01|1972-04-30
1141,SALTEAUX,2593,AB,1141,1989-01-01|2007-09-01,1989-06-01|2011-09-30
1142,SAND RIVER LO,2596,AB,1142,1957-01-01|2007-09-01,1957-04-01|2011-09-01
1143,SANDY LAKE LO,2597,AB,1143,1977-01-01|2007-09-01,1977-06-01|2011-09-22
1144,SANGUDO,2598,AB,1144,1953-01-01|1966-12-01,1953-01-01|1966-07-31
1145,SANGUDO ROYDALE,2599,AB,1145,1968-01-01|1972-12-01,1968-01-01|1972-11-30
1146,SANGUDO SOUTH,2600,AB,1146,1966-01-01|1968-12-01,1966-06-01|1968-09-30
1147,SASK RIVER CROSSING 2,8855,AB,1147,1998-04-01|2007-11-01,1998-03-01|2007-11-30
1148,SASKATCHEWAN R CROSSING,2434,AB,1148,1968-01-01|1968-12-01,1968-07-01|1968-07-31
1149,SASKATOON MOUNTAIN,2791,AB,1149,1921-01-01|1951-12-01,1921-01-01|1951-09-30
1150,SAVANNA AGCM,47107,AB,1150,|,2008-06-05|2021-02-25
1151,SCALP CREEK,8856,AB,1151,1998-04-01|2007-06-01,1998-04-01|2007-11-30
1152,SCAPA,2137,AB,1152,1982-01-01|1999-09-01,1982-05-01|1999-09-30
1153,SCHULER,2138,AB,1153,1980-01-01|2005-06-01,1980-11-01|2005-06-30
1154,SCHULER AGDM,32455,AB,1154,2002-11-01|2007-11-01,2002-11-01|2021-02-25
1155,SCHWARTZ CREEK,2601,AB,1155,1989-01-01|2007-09-01,1989-06-01|2011-09-01
1156,SCOLLARD,2139,AB,1156,1969-01-01|1998-04-01,1969-12-01|1998-04-30
1157,SCOTCH CAMP,8857,AB,1157,1998-04-01|2007-11-01,1998-02-01|2007-11-30
1158,SCOTFIELD,2140,AB,1158,1961-01-01|2007-10-01,1961-07-01|2007-10-31
1159,SEAFORTH LO,2792,AB,1159,1961-01-01|1969-12-01,1961-04-01|1969-08-31
1160,SEBA LANGLEY,2602,AB,1160,1977-01-01|1978-12-01,1977-08-01|1978-11-30
1161,SEDALIA,1970,AB,1161,1970-01-01|1974-12-01,1970-06-01|1974-05-31
1162,SEDALIA AGCM,46887,AB,1162,2007-09-01|2007-11-01,2007-09-01|2021-02-25
1163,SEDALIA EAST,1971,AB,1163,1974-01-01|1996-11-01,1974-05-01|1997-02-28
1164,SEDGEWICK,1973,AB,1164,1913-01-01|1977-12-01,1913-10-01|1977-08-31
1165,SEDGEWICK TOWN,1974,AB,1165,1987-01-01|2007-11-01,1987-11-01|2016-08-20
1166,SEVEN PERSONS,2301,AB,1166,1911-01-01|2007-11-01,1911-01-01|2007-11-30
1167,SEVEN PERSONS AGDM,42730,AB,1167,|,2004-06-16|2021-02-25
1168,SEVEN PERSONS RIVERS DEV,2302,AB,1168,1958-01-01|1963-12-01,1958-09-01|1963-07-31
1169,SEXSMITH WIEBE,6863,AB,1169,1993-01-01|2007-11-01,1993-06-01|2010-01-18
1170,SHALKA LAKE,1975,AB,1170,1972-01-01|1980-12-01,1972-06-01|1980-06-30
1171,SHALKA LAKE NE,1972,AB,1171,1980-01-01|1984-12-01,1980-07-01|1984-11-30
1172,SHAUGHNESSY,2303,AB,1172,1952-01-01|1956-12-01,1952-09-01|1956-02-29
1173,SHEEP RIVER 2,8851,AB,1173,1998-06-01|2006-07-01,1998-06-01|2006-07-31
1174,SHEEP RS,2435,AB,1174,1963-01-01|1975-12-01,1963-06-01|1976-03-31
1175,SHEERNESS AGCM,50937,AB,1175,|,2018-05-14|2021-02-25
1176,SHEERNESS CARAGANA,2028,AB,1176,1988-01-01|1990-12-01,1988-05-01|1990-12-31
1177,SHELL HARTLEY RIVER,2603,AB,1177,1975-01-01|1976-12-01,1975-09-01|1976-07-31
1178,SHINING BANK,2604,AB,1178,1968-01-01|2007-11-01,1968-12-01|2011-04-30
1179,SHINING BANK RS,2605,AB,1179,1967-01-01|2007-11-01,1967-05-01|2009-01-31
1180,SHOAL CREEK,2606,AB,1180,1987-01-01|1989-12-01,1987-12-01|1989-04-30
1181,SHONTS AGCM,46848,AB,1181,2007-09-01|2007-11-01,2007-09-01|2021-02-25
1182,SHUNDA RS,2436,AB,1182,1958-01-01|1967-12-01,1958-07-01|1967-08-31
1183,SIBBALD,2141,AB,1183,1953-01-01|2006-12-01,1953-03-01|2006-12-31
1184,SIBBALD 2,2142,AB,1184,1955-01-01|1968-12-01,1955-03-01|1968-07-31
1185,SIBBALD EAST,2143,AB,1185,1980-01-01|1989-12-01,1980-08-01|1989-08-31
1186,SIBBALD WESTGARD,2144,AB,1186,1988-01-01|2007-11-01,1988-08-01|2018-08-28
1187,SIMONETTE,2793,AB,1187,1973-01-01|2007-11-01,1973-10-01|2021-02-25
1188,SIMONETTE LO,2794,AB,1188,1956-01-01|2007-09-01,1956-05-01|2011-09-22
1189,SION,1976,AB,1189,1906-01-01|2004-12-01,1906-05-01|2004-12-31
1190,SKOKI,8858,AB,1190,1998-04-01|2005-02-01,1998-02-01|2005-02-28
1191,SKYLINE RS,2437,AB,1191,1958-01-01|1967-12-01,1958-07-01|1967-11-30
1192,SKYTREX,29887,AB,1192,2000-05-01|2003-02-01,2000-05-01|2003-02-28
1193,SLAVE LAKE,49369,AB,1193,|,2011-06-30|2021-02-25
1194,SLAVE LAKE,2607,AB,1194,1922-01-01|1962-12-01,1922-08-01|1962-08-31
1195,SLAVE LAKE A,10864,AB,1195,1994-07-01|2007-08-01,1992-12-01|2007-08-31
1196,SLAVE LAKE A,2608,AB,1196,1970-01-01|1997-11-01,1970-02-01|1997-11-30
1197,SLAVE LAKE AWOS A,31528,AB,1197,|,2006-01-01|2014-11-24
1198,SLAVE LAKE CR10,27219,AB,1198,1996-03-01|2007-11-01,1996-03-01|2007-11-30
1199,SLAVE LAKE HQTRS,2609,AB,1199,1965-01-01|1970-12-01,1965-08-01|1970-04-30
1200,SLAVE LAKE RCS,50777,AB,1200,|,2012-10-23|2021-02-25
1201,SLEEPY HOLLOW,2145,AB,1201,1988-01-01|2007-11-01,1988-11-01|2014-04-22
1202,SMITH,2610,AB,1202,1962-01-01|1966-12-01,1962-02-01|1966-09-30
1203,SMITH RS,2611,AB,1203,1965-01-01|1989-12-01,1965-04-01|1989-05-31
1204,SMOKY LAKE AGDM,32456,AB,1204,2002-12-01|2007-11-01,2002-11-01|2021-02-25
1205,SMOKY LO,2795,AB,1205,1961-01-01|2007-09-01,1961-08-01|2011-09-01
1206,SMOKY RIVER,2796,AB,1206,1967-01-01|1969-12-01,1966-12-01|1969-09-30
1207,SNEDDON CREEK RS,27041,AB,1207,1995-04-01|2007-11-01,1995-04-01|2011-09-29
1208,SNUFF MOUNTAIN LO,2797,AB,1208,1953-01-01|2007-09-01,1953-05-01|2011-09-01
1209,SOCIAL PLAINS AGCM,50922,AB,1209,|,2018-05-14|2021-02-25
1210,SOUNDING CREEK,1978,AB,1210,1981-01-01|1983-12-01,1981-12-01|1983-11-30
1211,SOUSA CREEK (AUT),10733,AB,1211,1996-05-01|2001-09-01,1994-10-31|2002-05-08
1212,SOUTH ESK,42163,AB,1212,2003-09-01|2007-09-01,2003-09-01|2007-09-30
1213,SOUTH WAPITI RS,2798,AB,1213,1962-01-01|1981-12-01,1962-05-01|1981-10-31
1214,SPIONKOP CREEK,8859,AB,1214,1998-06-01|2007-11-01,1998-06-01|2007-11-30
1215,SPIRIT RIVER AUTO STATION,29633,AB,1215,1999-12-01|2007-11-01,1999-08-27|2018-03-21
1216,SPIRIT RIVER RS,2799,AB,1216,1966-01-01|1986-12-01,1966-05-01|1986-06-30
1217,SPONDIN AGCM,46913,AB,1217,2007-09-01|2007-11-01,2007-09-01|2021-02-25
1218,SPRING CREEK MOOSE,8900,AB,1218,1998-07-01|2007-11-01,1998-02-01|2007-11-30
1219,SPRINGBANK A,2171,AB,1219,1985-01-01|2007-11-01,1984-12-01|2012-08-08
1220,SPRINGBANK A,2304,AB,1220,1970-01-01|1971-12-01,1970-09-01|1971-04-30
1221,SPRINGDALE,2146,AB,1221,1913-01-01|1956-12-01,1913-04-01|1956-10-31
1222,SPRUCE GROVE,1979,AB,1222,1990-01-01|1991-11-01,1990-08-01|1991-01-31
1223,SPY HILL,2305,AB,1223,1990-01-01|1992-12-01,1990-08-01|1992-05-31
1224,ST ALBERT,27332,AB,1224,1997-08-01|1998-06-01,1997-08-01|1998-06-30
1225,ST LINA,1967,AB,1225,1970-01-01|2007-11-01,1970-05-01|2009-10-31
1226,ST PAUL EXP ST,1968,AB,1226,1952-01-01|1955-12-01,1952-01-01|1955-11-30
1227,ST VINCENT,1969,AB,1227,1980-01-01|1980-12-01,1980-07-01|1980-09-30
1228,ST VINCENT SOUTHEAST,1965,AB,1228,1985-01-01|1987-12-01,1985-08-01|1987-09-30
1229,ST. ALBERT RESEARCH STATION,49050,AB,1229,|,2018-05-14|2021-02-25
1230,ST. FRANCIS,53998,AB,1230,|,2018-05-14|2021-02-25
1231,ST. LINA AGCM,47127,AB,1231,|,2008-06-11|2021-02-25
1232,ST. MARY RESERVOIR,45727,AB,1232,2007-03-01|2007-10-01,2007-03-01|2021-02-25
1233,ST. PAUL AGCM,32457,AB,1233,2002-12-01|2007-11-01,2002-11-01|2021-02-25
1234,STANDARD,2306,AB,1234,1965-01-01|1975-12-01,1965-05-01|1975-07-31
1235,STANDARD AGCM,46849,AB,1235,2007-09-01|2007-11-01,2007-09-01|2021-02-25
1236,STANMORE EXP ST,2147,AB,1236,1955-01-01|1955-12-01,1955-04-01|1955-09-30
1237,STAUFFER,2148,AB,1237,1963-01-01|1964-12-01,1963-06-01|1964-07-31
1238,STAVELY AAFC,27200,AB,1238,1997-02-01|2007-11-01,1996-11-01|2021-02-25
1239,STAVELY CDA,2307,AB,1239,1955-01-01|1962-12-01,1955-01-01|1962-10-31
1240,STAVELY EXP ST 2,2308,AB,1240,1959-01-01|1963-12-01,1959-06-01|1963-03-31
1241,STEEN LO,2800,AB,1241,1964-01-01|2007-08-01,1964-06-01|2011-08-07
1242,STEEN RIVER RS,2801,AB,1242,1962-01-01|1997-07-01,1962-05-01|1997-07-31
1243,STEEPHILL CREEK,2802,AB,1243,1980-01-01|1983-12-01,1980-10-01|1983-04-30
1244,STETTLER,1981,AB,1244,1918-01-01|1977-12-01,1918-09-01|1977-06-30
1245,STETTLER AGDM,32458,AB,1245,2003-01-01|2007-11-01,2003-01-01|2021-02-25
1246,STETTLER NORTH,1980,AB,1246,1977-01-01|2001-08-01,1977-07-01|2001-08-31
1247,STONEY MOUNTAIN,2612,AB,1247,1958-01-01|1963-12-01,1958-06-01|1963-12-31
1248,STONEY MOUNTAIN LO,2613,AB,1248,1954-01-01|2007-09-01,1954-05-01|2011-09-30
1249,STRACHAN RS,1982,AB,1249,1959-01-01|1966-12-01,1959-08-01|1966-11-30
1250,STRATHMORE,2309,AB,1250,1912-01-01|2003-09-01,1912-07-01|2004-05-31
1251,STRATHMORE AGDM,42725,AB,1251,2004-06-01|2007-10-01,2004-06-01|2021-02-25
1252,STRATHMORE EAST,2310,AB,1252,1970-01-01|1989-12-01,1970-05-01|1989-09-30
1253,STREETER,8915,AB,1253,1998-04-01|2006-07-01,1998-02-01|2006-08-31
1254,STRY,1983,AB,1254,1918-01-01|1931-12-01,1918-04-01|1931-03-31
1255,SUFFIELD,2311,AB,1255,1913-01-01|1924-12-01,1913-09-01|1924-08-31
1256,SUFFIELD A,2312,AB,1256,1950-01-01|2007-11-01,1950-04-01|2008-12-31
1257,SUFFIELD HAMLET,2313,AB,1257,1980-01-01|1991-11-01,1980-08-01|1991-05-31
1258,SUFFIELD SOUTH,2314,AB,1258,1985-01-01|1989-12-01,1985-06-01|1989-02-28
1259,SUGARLOAF LO,2438,AB,1259,1961-01-01|2007-09-01,1961-07-01|2011-08-23
1260,SULLIVAN LAKE,1984,AB,1260,1971-01-01|2007-09-01,1971-11-01|2007-09-30
1261,SUNDRE,2149,AB,1261,1984-01-01|1986-12-01,1984-06-01|1986-06-30
1262,SUNDRE A,10105,AB,1262,1995-06-01|2007-11-01,1993-06-04|2021-02-25
1263,SUNDRE GARRINGTON,2150,AB,1263,1985-01-01|2007-11-01,1985-06-01|2008-12-31
1264,SUNDRE RS,2151,AB,1264,1962-01-01|1985-12-01,1962-04-01|1985-03-31
1265,SUNDRE SOUTH,8743,AB,1265,2004-03-01|2004-12-01,2004-03-01|2004-12-31
1266,SUNNYNOOK,2152,AB,1266,1982-01-01|1984-12-01,1982-05-01|1984-01-31
1267,SUNNYNOOK AGCM,53100,AB,1267,|,2018-05-14|2021-02-25
1268,SUNSET,2153,AB,1268,1966-01-01|1966-12-01,1966-07-01|1966-09-30
1269,SUNSHINE CS,27455,AB,1269,1997-01-01|2007-11-01,1997-01-01|2007-11-30
1270,SUNWAPTA,2439,AB,1270,1979-01-01|2004-05-01,1979-09-01|2004-05-31
1271,SUNWAPTA,30310,AB,1271,2002-04-01|2007-11-01,2001-10-01|2007-11-30
1272,SWALWELL,2154,AB,1272,1961-01-01|1971-12-01,1961-07-01|1971-10-31
1273,SWAN DIVE LO,2614,AB,1273,1952-01-01|2007-09-01,1952-09-01|2011-09-22
1274,SWAN HILLS,2615,AB,1274,1960-01-01|1960-12-01,1960-02-01|1960-02-29
1275,SWAN HILLS,2616,AB,1275,1985-01-01|1995-05-01,1985-09-01|1995-05-31
1276,SWAN HILLS RS,2618,AB,1276,1979-01-01|1980-12-01,1979-03-01|1980-04-30
1277,SWAN HILLS RS,2617,AB,1277,1965-01-01|1972-12-01,1965-11-01|1972-04-30
1278,SWEATHOUSE LO,2803,AB,1278,1953-01-01|2007-09-01,1953-08-01|2011-09-01
1279,SWEETGRASS LANDING,52478,AB,1279,|,2018-04-07|2021-02-25
1280,SWITZER,27970,AB,1280,1999-09-01|2001-02-01,1999-09-01|2001-02-28
1281,SYLVAN HEIGHTS,1985,AB,1281,1966-01-01|1969-12-01,1966-07-01|1969-09-30
1282,SYLVAN LAKE,2155,AB,1282,1962-01-01|1993-12-01,1962-05-01|1993-06-30
1283,TABER,2315,AB,1283,1907-01-01|2007-11-01,1907-03-01|2021-02-21
1284,TALBOT LAKE LO,2804,AB,1284,1964-01-01|2007-08-01,1964-05-01|2011-08-14
1285,TANGENT,2805,AB,1285,1970-01-01|1974-12-01,1970-06-01|1974-03-31
1286,TAR ISLAND,2619,AB,1286,1970-01-01|1984-12-01,1970-04-01|1984-06-30
1287,TAWATINAW AGCM,47108,AB,1287,|,2008-06-05|2021-02-25
1288,TEEPEE CREEK AGCM,47109,AB,1288,|,2008-06-05|2021-02-25
1289,TEEPEE LO,2806,AB,1289,1960-01-01|2007-08-01,1960-04-01|2011-08-23
1290,TELFORDVILLE,1986,AB,1290,1923-01-01|1937-12-01,1923-04-01|1937-02-28
1291,TEMPLE,9436,AB,1291,2001-01-01|2007-11-01,2000-10-01|2007-11-30
1292,THELMA CREEK,2353,AB,1292,1966-01-01|1966-12-01,1966-07-01|1967-05-31
1293,THICKWOOD LO,2620,AB,1293,1957-01-01|1992-12-01,1957-04-01|1992-08-31
1294,THORHILD,1987,AB,1294,1952-01-01|1960-12-01,1952-06-01|1960-10-31
1295,THORHILD VILLAGE,1988,AB,1295,1980-01-01|1981-12-01,1980-08-01|1981-11-30
1296,THORSBY,1989,AB,1296,1932-01-01|1968-12-01,1932-02-01|1968-10-31
1297,THORSBY AGCM,46850,AB,1297,2007-09-01|2007-11-01,2007-09-01|2021-02-25
1298,THREE CREEKS RS,2807,AB,1298,1968-01-01|1972-12-01,1968-04-01|1972-09-30
1299,THREE HILLS,2156,AB,1299,1921-01-01|1978-12-01,1921-02-01|1978-02-28
1300,THREE HILLS,10907,AB,1300,1996-02-01|2007-10-01,1993-06-04|2021-02-25
1301,THREE HILLS EAST,2157,AB,1301,1981-01-01|1988-12-01,1981-06-01|1988-04-30
1302,THREE HILLS RILLING IHD,2158,AB,1302,1967-01-01|1969-12-01,1967-07-01|1969-12-31
1303,THREE HILLS SOUTH,2025,AB,1303,1981-01-01|2007-11-01,1981-06-01|2008-05-04
1304,THREE HILLS TOWN,2159,AB,1304,1969-01-01|1977-12-01,1969-04-01|1977-09-30
1305,THREE ISLE LAKE,9610,AB,1305,1998-04-01|2007-08-01,1998-02-01|2007-11-30
1306,THREE ISLE LAKE,8866,AB,1306,|,1998-03-01|1998-03-31
1307,TIDE LAKE AGCM,50919,AB,1307,|,2018-05-14|2021-02-25
1308,TOFIELD NORTH,1990,AB,1308,1974-01-01|2007-11-01,1974-10-01|2014-01-05
1309,TOM HILL LO,2621,AB,1309,1966-01-01|2007-09-01,1966-05-01|2011-09-01
1310,TOMAHAWK AGDM,43581,AB,1310,2005-03-01|2007-11-01,2005-02-25|2021-02-25
1311,TOMPKINS LANDING AGCM,51858,AB,1311,|,2018-05-14|2021-02-25
1312,TONY LO,2622,AB,1312,1957-01-01|2007-08-01,1957-05-01|2011-08-23
1313,TORRENS LO,2440,AB,1313,1963-01-01|2007-09-01,1963-06-01|2011-09-01
1314,TRAVERS AGCM,46914,AB,1314,2007-09-01|2007-11-01,2007-09-01|2021-02-25
1315,TROCHU 2,2160,AB,1315,1951-01-01|1975-12-01,1951-10-01|1975-09-30
1316,TROCHU EAST,32273,AB,1316,2002-12-01|2007-11-01,2002-12-01|2007-11-30
1317,TROCHU EQUITY,2161,AB,1317,1954-01-01|1989-12-01,1954-05-01|1989-08-31
1318,TROCHU TOWN,2162,AB,1318,1980-01-01|2003-01-01,1980-06-01|2003-01-31
1319,TROCHU WIMBORNE,2163,AB,1319,1950-01-01|1962-12-01,1950-08-01|1963-06-30
1320,TROUT CREEK WEST,2441,AB,1320,1976-01-01|1977-12-01,1976-10-01|1977-04-30
1321,TROUT LAKE,2808,AB,1321,1973-01-01|1974-12-01,1973-07-01|1974-06-30
1322,TROUT MOUNTAIN LO,2809,AB,1322,1960-01-01|2007-08-01,1960-04-01|2011-08-23
1323,TULLIBY LAKE,1991,AB,1323,1970-01-01|1995-01-01,1970-05-01|1995-01-31
1324,TULLIBY LAKE AGCM,46851,AB,1324,2007-09-01|2007-11-01,2007-09-01|2021-02-25
1325,TULLIBY LAKE EAST,1992,AB,1325,1990-01-01|2005-08-01,1990-05-01|2005-08-31
1326,TULLIBY LAKE NORTH,1993,AB,1326,1973-01-01|1978-12-01,1973-06-01|1978-08-31
1327,TURIN,2316,AB,1327,1965-01-01|1969-12-01,1965-11-01|1969-02-28
1328,TURIN EXP ST,2317,AB,1328,1955-01-01|1963-12-01,1955-01-01|1963-03-31
1329,TURNER VALLEY,2318,AB,1329,1949-01-01|1975-12-01,1949-08-01|1975-03-31
1330,TURNER VALLEY,6855,AB,1330,1991-01-01|2000-09-01,1991-05-01|2000-09-30
1331,TURNER VALLEY RS,2319,AB,1331,1972-01-01|1982-12-01,1972-06-01|1982-10-31
1332,TURTLE MOUNTAIN,10200,AB,1332,|,|
1333,TWIN LAKES,8895,AB,1333,1998-05-01|2007-01-01,1998-02-01|2007-01-31
1334,TWO BAR LAKE,2164,AB,1334,1981-01-01|1991-11-01,1981-04-01|1991-03-31
1335,TWO HILLS,1994,AB,1335,1966-01-01|1967-12-01,1966-07-01|1967-06-30
1336,TWO HILLS AGDM,32459,AB,1336,2003-01-01|2007-11-01,2003-01-01|2021-02-25
